,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2021-02-05 00:00:00 ALB,41,2020-11-06,5,2021-02-05 00:00:00,5,91,ALB,1,0,13,104.05,0,1352.6,156.25,0,2031.22,0.0,-2.03,678.62,50.17,1,l: 10 s: 0,2118.54,0.0,11496.57,13615.11
2021-02-05 00:00:00 QCOM,42,2020-11-06,5,2021-02-05 00:00:00,5,91,QCOM,1,0,10,143.29,0,1432.91,146.71,0,1467.09,0.0,-1.47,34.18,2.39,1,l: 9 s: 0,3584.16,0.0,10063.66,13647.82
2021-02-05 00:00:00 ALGN,52,2021-02-05,5,0,0,0,ALGN,1,0,2,622.09,0,1244.18,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 9 s: 0,2338.74,0.0,11307.84,13646.58
2021-02-05 00:00:00 PYPL,53,2021-02-05,5,0,0,0,PYPL,1,0,8,268.61,0,2148.88,0.0,0,0.0,-2.15,0.0,0.0,0.0,0,l: 10 s: 0,187.71,0.0,13456.72,13644.43
2021-02-26 00:00:00 NTAP,49,2021-01-28,4,2021-02-26 00:00:00,5,29,NTAP,1,0,18,67.91,0,1222.34,61.57,0,1108.23,0.0,-1.11,-114.11,-9.34,0,l: 10 s: 0,1294.83,0.0,12234.38,13529.21
2021-03-02 00:00:00 IVZ,54,2021-03-02,2,0,0,0,IVZ,1,0,53,24.27,0,1286.36,0.0,0,0.0,-1.29,0.0,0.0,0.0,0,l: 10 s: 0,7.18,0.0,13520.74,13527.92
2021-03-04 00:00:00 ALGN,52,2021-02-05,5,2021-03-04 00:00:00,4,27,ALGN,1,0,2,622.09,0,1244.18,523.7,0,1047.4,0.0,-1.05,-196.78,-15.82,0,l: 10 s: 0,1053.54,0.0,12276.56,13330.1
2021-03-05 00:00:00 PYPL,53,2021-02-05,5,2021-03-05 00:00:00,5,28,PYPL,1,0,8,268.61,0,2148.88,243.12,0,1944.96,0.0,-1.94,-203.92,-9.49,0,l: 9 s: 0,2996.55,0.0,10127.68,13124.23
2021-03-05 00:00:00 SWKS,51,2021-02-02,2,2021-03-05 00:00:00,5,31,SWKS,1,0,7,186.94,0,1308.58,167.18,0,1170.26,0.0,-1.17,-138.32,-10.57,0,l: 8 s: 0,4165.64,0.0,8819.1,12984.74
2021-03-05 00:00:00 FANG,55,2021-03-05,5,0,0,0,FANG,1,0,16,83.1,0,1329.56,0.0,0,0.0,-1.33,0.0,0.0,0.0,0,l: 8 s: 0,2834.75,0.0,10148.66,12983.41
2021-03-19 00:00:00 HIG,56,2021-03-19,5,0,0,0,HIG,1,0,21,67.19,0,1410.9,0.0,0,0.0,-1.41,0.0,0.0,0.0,0,l: 9 s: 0,1422.44,0.0,11559.56,12982.0
2021-03-23 00:00:00 KSU,57,2021-03-23,2,0,0,0,KSU,1,0,5,248.62,0,1243.11,0.0,0,0.0,-1.24,0.0,0.0,0.0,0,l: 10 s: 0,178.08,0.0,12802.68,12980.76
2021-05-11 00:00:00 FLIR,46,2021-01-05,2,2021-05-11 00:00:00,2,126,FLIR,1,0,24,51.37,0,1232.79,58.29,0,1398.96,0.0,-1.4,166.17,13.48,1,l: 10 s: 0,1575.64,0.0,11569.89,13145.53
2021-05-12 00:00:00 ALK,44,2020-11-10,2,2021-05-12 00:00:00,3,183,ALK,1,0,27,45.9,0,1239.3,65.23,0,1761.21,0.0,-1.76,521.91,42.11,1,l: 9 s: 0,3335.09,0.0,10330.59,13665.68
2021-05-12 00:00:00 HIG,56,2021-03-19,5,2021-05-12 00:00:00,3,54,HIG,1,0,21,67.19,0,1410.9,63.98,0,1343.58,0.0,-1.34,-67.32,-4.77,0,l: 8 s: 0,4677.33,0.0,8919.68,13597.01
2021-05-28 00:00:00 GE,58,2021-05-28,5,0,0,0,GE,1,0,13,114.23,0,1485.03,0.0,0,0.0,-1.49,0.0,0.0,0.0,0,l: 8 s: 0,3190.81,0.0,10404.71,13595.52
2021-06-02 00:00:00 DVN,59,2021-06-02,3,0,0,0,DVN,1,0,53,29.99,0,1589.42,0.0,0,0.0,-1.59,0.0,0.0,0.0,0,l: 9 s: 0,1599.8,0.0,11994.13,13593.93
2021-06-02 00:00:00 MRO,60,2021-06-02,3,0,0,0,MRO,1,0,114,13.95,0,1590.3,0.0,0,0.0,-1.59,0.0,0.0,0.0,0,l: 10 s: 0,7.92,0.0,13584.43,13592.34
2021-06-18 00:00:00 AMP,45,2020-11-10,2,2021-06-18 00:00:00,5,220,AMP,1,0,7,180.29,0,1262.06,239.24,0,1674.7,0.0,-1.67,412.63,32.7,1,l: 10 s: 0,1680.94,0.0,12322.36,14003.3
2021-06-18 00:00:00 CF,47,2021-01-07,4,2021-06-18 00:00:00,5,162,CF,1,0,29,42.69,0,1238.09,49.01,0,1421.24,0.0,-1.42,183.15,14.79,1,l: 9 s: 0,3100.76,0.0,11084.27,14185.03
2021-06-18 00:00:00 KSU,57,2021-03-23,2,2021-06-18 00:00:00,5,87,KSU,1,0,5,248.62,0,1243.11,284.33,0,1421.65,0.0,-1.42,178.54,14.36,1,l: 8 s: 0,4520.99,0.0,9841.16,14362.14
2021-06-18 00:00:00 STX,50,2021-01-28,4,2021-06-18 00:00:00,5,141,STX,1,0,19,68.87,0,1308.45,87.28,0,1658.32,0.0,-1.66,349.87,26.74,1,l: 7 s: 0,6177.65,0.0,8532.71,14710.35
2021-06-30 00:00:00 IRM,48,2021-01-28,4,2021-06-30 00:00:00,3,153,IRM,1,0,36,34.78,0,1252.04,42.3,0,1522.8,0.0,-1.52,270.76,21.63,1,l: 6 s: 0,7698.92,0.0,7280.67,14979.59
2021-07-13 00:00:00 ALB,61,2021-07-13,2,0,0,0,ALB,1,0,8,185.9,0,1487.2,0.0,0,0.0,-1.49,0.0,0.0,0.0,0,l: 6 s: 0,6210.24,0.0,8767.87,14978.1
2021-07-16 00:00:00 FANG,55,2021-03-05,5,2021-07-16 00:00:00,5,133,FANG,1,0,16,83.1,0,1329.56,82.09,0,1313.51,0.0,-1.31,-16.05,-1.21,0,l: 6 s: 0,7522.43,0.0,7438.31,14960.74
2021-07-16 00:00:00 MRO,60,2021-06-02,3,2021-07-16 00:00:00,5,44,MRO,1,0,114,13.95,0,1590.3,12.37,0,1409.81,0.0,-1.41,-180.48,-11.35,0,l: 5 s: 0,8930.84,0.0,5848.01,14778.85
2021-07-19 00:00:00 DVN,59,2021-06-02,3,2021-07-19 00:00:00,1,47,DVN,1,0,53,29.99,0,1589.42,24.59,0,1303.27,0.0,-1.3,-286.15,-18.0,0,l: 4 s: 0,10232.8,0.0,4258.59,14491.4
2021-07-19 00:00:00 IVZ,54,2021-03-02,2,2021-07-19 00:00:00,1,139,IVZ,1,0,53,24.27,0,1286.36,24.04,0,1274.11,0.0,-1.27,-12.25,-0.95,0,l: 3 s: 0,11505.64,0.0,2972.23,14477.87
