,open,high,low,close,d%change,c%change
2021-03-01,14462.71,14685.43,14254.65,14451.62,1.81,44.52
2021-03-02,14455.9,14607.47,14223.49,14316.62,-0.93,43.17
2021-03-03,14340.19,14544.25,14022.6,14135.19,-1.27,41.35
2021-03-04,13996.34,14175.69,13415.38,13743.06,-2.77,37.43
2021-03-05,13888.14,14107.62,13487.29,14004.4,1.9,40.04
2021-03-08,14106.17,14450.61,13967.56,14220.92,1.55,42.21
2021-03-09,14232.1,14369.33,14026.16,14122.25,-0.69,41.22
2021-03-10,14162.7,14344.3,14026.47,14206.01,0.59,42.06
2021-03-11,14282.22,14493.27,14159.67,14331.57,0.88,43.32
2021-03-12,14358.97,14522.73,14202.96,14360.17,0.2,43.6
2021-03-15,14433.26,14634.05,14257.94,14570.0,1.46,45.7
2021-03-16,14519.72,14574.29,14201.88,14303.64,-1.83,43.04
2021-03-17,14292.51,14555.46,14180.75,14503.04,1.39,45.03
2021-03-18,14461.75,14625.34,14126.47,14178.04,-2.24,41.78
2021-03-19,14139.51,14406.6,13949.78,14206.33,0.2,42.06
2021-03-22,14223.13,14325.95,14000.64,14152.4,-0.38,41.52
2021-03-23,13977.6,14166.42,13643.05,13754.61,-2.81,37.55
2021-03-24,13896.35,14175.68,13720.98,13781.02,0.19,37.81
2021-03-25,13673.46,14089.97,13485.94,14021.01,1.74,40.21
2021-03-26,14167.23,14338.33,13916.78,14221.73,1.43,42.22
2021-03-29,14100.82,14317.19,13915.45,14071.89,-1.05,40.72
2021-03-30,14078.32,14356.99,13988.3,14260.74,1.34,42.61
2021-03-31,14260.71,14439.42,14102.61,14265.86,0.04,42.66
2021-04-01,14330.0,14622.95,14219.02,14558.19,2.05,45.58
2021-04-05,14681.99,14836.44,14435.94,14566.04,0.05,45.66
2021-04-06,14595.96,14748.59,14446.48,14584.3,0.13,45.84
2021-04-07,14605.53,14720.78,14455.7,14608.61,0.17,46.09
2021-04-08,14563.66,14653.61,14334.8,14548.26,-0.41,45.48
2021-04-09,14596.08,14701.07,14461.64,14628.46,0.55,46.28
2021-04-12,14656.36,14789.37,14475.44,14630.46,0.01,46.3
2021-04-13,14605.21,14689.03,14348.5,14551.11,-0.54,45.51
2021-04-14,14593.18,14880.29,14523.22,14720.14,1.16,47.2
2021-04-15,14775.82,14889.55,14562.61,14755.55,0.24,47.56
2021-04-16,14822.37,14918.06,14625.0,14715.57,-0.27,47.16
2021-04-19,14715.21,14839.53,14564.74,14697.72,-0.12,46.98
2021-04-20,14801.44,14952.3,14521.83,14711.59,0.09,47.12
2021-04-21,14652.41,15039.57,14527.93,15004.28,1.99,50.04
2021-04-22,15006.47,15149.1,14760.15,14863.73,-0.94,48.64
2021-04-23,14921.55,15267.44,14837.21,15192.07,2.21,51.92
2021-04-26,15261.19,15491.9,15138.75,15312.98,0.8,53.13
2021-04-27,15293.95,15558.27,15224.33,15438.13,0.82,54.38
2021-04-28,15422.27,15631.17,15279.0,15508.1,0.45,55.08
2021-04-29,15649.58,15782.91,15421.4,15602.98,0.61,56.03
2021-04-30,15527.17,15662.08,15259.33,15382.63,-1.41,53.83
2021-05-03,15523.21,15618.01,15290.03,15426.96,0.29,54.27
2021-05-04,15363.47,15498.85,15011.12,15236.43,-1.24,52.36
2021-05-05,15273.61,15496.38,15076.94,15306.19,0.46,53.06
2021-05-06,15301.93,15607.32,15101.14,15555.43,1.63,55.55
2021-05-07,15470.96,15869.47,15393.84,15784.07,1.47,57.84
2021-05-10,15851.98,16023.34,15613.45,15694.57,-0.57,56.95
2021-05-11,15427.61,15641.74,15171.94,15406.48,-1.84,54.06
2021-05-12,15418.4,15571.94,15149.84,15198.9,-1.35,51.99
2021-05-13,15180.73,15498.23,15087.33,15330.37,0.86,53.3
2021-05-14,15416.23,15780.96,15335.64,15681.31,2.29,56.81
2021-05-17,15644.1,15937.26,15490.33,15793.17,0.71,57.93
2021-05-18,15820.04,15949.5,15571.71,15630.69,-1.03,56.31
2021-05-19,15363.52,15554.8,15178.0,15474.87,-1.0,54.75
2021-05-20,15506.21,15608.53,15243.74,15392.47,-0.53,53.92
2021-05-21,15416.79,15550.1,15320.46,15370.66,-0.14,53.71
2021-05-24,15441.49,15595.47,15333.93,15510.37,0.91,55.1
2021-05-25,15535.04,15634.92,15293.13,15313.55,-1.27,53.14
2021-05-26,15354.36,15531.85,15267.09,15467.53,1.01,54.68
2021-05-27,15546.45,15688.72,15474.11,15608.68,0.91,56.09
2021-05-28,15670.97,15731.89,15484.97,15622.67,0.09,56.23
2021-06-01,15732.25,15935.23,15575.08,15824.89,1.29,58.25
2021-06-02,15905.57,16114.64,15654.68,15904.97,0.51,59.05
2021-06-03,15799.59,16121.15,15689.08,15979.39,0.47,59.79
